flight_date,flight_status,departure_airport,departure_timezone,departure_scheduled,arrival_airport,arrival_timezone,arrival_scheduled,airline_name
2024-03-20,active,Haneda Airport,Asia/Tokyo,2024-03-20T00:35:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T07:00:00+00:00,ANA
2024-03-20,scheduled,Melbourne - Tullamarine Airport,Australia/Melbourne,2024-03-20T07:00:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T11:40:00+00:00,Lufthansa
2024-03-20,scheduled,Melbourne - Tullamarine Airport,Australia/Melbourne,2024-03-20T03:25:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T08:05:00+00:00,Emirates
2024-03-20,scheduled,Shanghai Pudong International,Asia/Shanghai,2024-03-20T00:10:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:00:00+00:00,Singapore Airlines
2024-03-20,active,Haneda Airport,Asia/Tokyo,2024-03-20T00:10:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:45:00+00:00,American Airlines
2024-03-20,active,Haneda Airport,Asia/Tokyo,2024-03-20T00:10:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:45:00+00:00,Hawaiian Airlines
2024-03-20,active,Haneda Airport,Asia/Tokyo,2024-03-20T00:10:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:45:00+00:00,Qantas
2024-03-20,active,Haneda Airport,Asia/Tokyo,2024-03-20T00:10:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:45:00+00:00,SriLankan Airlines
2024-03-20,scheduled,Melbourne - Tullamarine Airport,Australia/Melbourne,2024-03-20T07:00:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T11:40:00+00:00,Aegean Airlines
2024-03-20,active,Auckland International,Pacific/Auckland,2024-03-20T01:20:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:45:00+00:00,Singapore Airlines
2024-03-20,active,Auckland International,Pacific/Auckland,2024-03-20T01:20:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:45:00+00:00,Vistara
2024-03-20,active,Auckland International,Pacific/Auckland,2024-03-20T01:20:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:45:00+00:00,Air New Zealand
2024-03-20,scheduled,Madras International (Meenambakkam),Asia/Kolkata,2024-03-20T01:45:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T08:40:00+00:00,Air India Express
2024-03-20,scheduled,Beijing Capital International,Asia/Shanghai,2024-03-20T00:25:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:50:00+00:00,Singapore Airlines
2024-03-20,scheduled,Beijing Capital International,Asia/Shanghai,2024-03-20T00:10:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:45:00+00:00,Air China LTD
2024-03-20,scheduled,Shanghai Pudong International,Asia/Shanghai,2024-03-20T03:55:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T09:30:00+00:00,YTO Cargo Airlines
2024-03-20,scheduled,Perth International,Australia/Perth,2024-03-20T01:10:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:20:00+00:00,Singapore Airlines
2024-03-20,scheduled,Perth International,Australia/Perth,2024-03-20T01:10:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:20:00+00:00,Virgin Australia
2024-03-20,scheduled,Perth International,Australia/Perth,2024-03-20T01:10:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:20:00+00:00,Vistara
2024-03-20,scheduled,Perth International,Australia/Perth,2024-03-20T01:10:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:20:00+00:00,United Airlines
2024-03-20,scheduled,Perth International,Australia/Perth,2024-03-20T01:10:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:20:00+00:00,Turkish Airlines
2024-03-20,scheduled,Perth International,Australia/Perth,2024-03-20T01:10:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:20:00+00:00,SAS
2024-03-20,scheduled,Bandaranaike International,Asia/Colombo,2024-03-20T00:45:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T07:15:00+00:00,Singapore Airlines
2024-03-20,scheduled,Bandaranaike International,Asia/Colombo,2024-03-20T00:45:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T07:15:00+00:00,Virgin Australia
2024-03-20,scheduled,Bandaranaike International,Asia/Colombo,2024-03-20T00:45:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T07:15:00+00:00,Air New Zealand
2024-03-20,scheduled,Melbourne - Tullamarine Airport,Australia/Melbourne,2024-03-20T07:00:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T11:40:00+00:00,Singapore Airlines
2024-03-20,scheduled,Melbourne - Tullamarine Airport,Australia/Melbourne,2024-03-20T07:00:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T11:40:00+00:00,SWISS
2024-03-20,scheduled,Melbourne - Tullamarine Airport,Australia/Melbourne,2024-03-20T07:00:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T11:55:00+00:00,Tasman Cargo Airlines
2024-03-20,scheduled,Civil,Asia/Kolkata,2024-03-20T01:35:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T08:15:00+00:00,Scoot
2024-03-20,scheduled,Civil,Asia/Kolkata,2024-03-20T01:35:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T08:15:00+00:00,Singapore Airlines
2024-03-20,scheduled,Taiwan Taoyuan International (Chiang Kai Shek International),Asia/Taipei,2024-03-20T02:00:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:30:00+00:00,Cargolux
2024-03-20,scheduled,Taiwan Taoyuan International (Chiang Kai Shek International),Asia/Taipei,2024-03-20T03:30:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:30:00+00:00,Cargolux
2024-03-20,scheduled,Shuangliu,Asia/Shanghai,2024-03-20T04:00:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T09:10:00+00:00,Sichuan Airlines
2024-03-20,active,Melbourne - Tullamarine Airport,Australia/Melbourne,2024-03-20T00:35:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T05:15:00+00:00,ANA
2024-03-20,active,Melbourne - Tullamarine Airport,Australia/Melbourne,2024-03-20T00:35:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T05:15:00+00:00,SWISS
2024-03-20,active,Melbourne - Tullamarine Airport,Australia/Melbourne,2024-03-20T00:35:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T05:15:00+00:00,Lufthansa
2024-03-20,active,Melbourne - Tullamarine Airport,Australia/Melbourne,2024-03-20T00:35:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T05:15:00+00:00,Air France
2024-03-20,scheduled,Melbourne - Tullamarine Airport,Australia/Melbourne,2024-03-20T04:05:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T08:26:00+00:00,DHL Air
2024-03-20,active,Haneda Airport,Asia/Tokyo,2024-03-20T00:10:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:45:00+00:00,Jet Linx Aviation
2024-03-20,scheduled,Penang International,Asia/Kuala_Lumpur,2024-03-20T00:15:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T01:45:00+00:00,MY Jet Xpress Airlines
2024-03-20,scheduled,Madras International (Meenambakkam),Asia/Kolkata,2024-03-20T00:35:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T07:20:00+00:00,Scoot
2024-03-20,scheduled,Madras International (Meenambakkam),Asia/Kolkata,2024-03-20T00:35:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T07:20:00+00:00,Singapore Airlines
2024-03-20,scheduled,Chhatrapati Shivaji International (Sahar International),Asia/Kolkata,2024-03-20T00:05:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T08:00:00+00:00,Singapore Airlines
2024-03-20,active,Haneda Airport,Asia/Tokyo,2024-03-20T00:35:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T07:00:00+00:00,Singapore Airlines
2024-03-20,active,Haneda Airport,Asia/Tokyo,2024-03-20T00:35:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T07:00:00+00:00,United Airlines
2024-03-20,active,Haneda Airport,Asia/Tokyo,2024-03-20T00:35:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T07:00:00+00:00,Air Canada
2024-03-20,active,Haneda Airport,Asia/Tokyo,2024-03-20T00:10:00+00:00,Singapore Changi,Asia/Singapore,2024-03-20T06:45:00+00:00,Alaska Airlines
