flight_date,flight_status,departure_airport,departure_timezone,departure_estimated,arrival_airport,arrival_timezone,airline_name
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T13:05:00+00:00,Suvarnabhumi International,Asia/Bangkok,Bangkok Airways
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T13:05:00+00:00,Suvarnabhumi International,Asia/Bangkok,SAS
2024-03-30,landed,Singapore Changi,Asia/Singapore,2024-03-30T13:05:00+00:00,Suvarnabhumi International,Asia/Bangkok,Virgin Australia
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T18:10:00+00:00,Kaoshiung International Airport,Asia/Taipei,China Airlines
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T18:10:00+00:00,Suvarnabhumi International,Asia/Bangkok,Thai Airways International
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T18:20:00+00:00,Penang International,Asia/Kuala_Lumpur,AirAsia
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T18:20:00+00:00,Phuket International,Asia/Bangkok,Scoot
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T18:25:00+00:00,Tan Son Nhat International,Asia/Ho_Chi_Minh,Vietnam Airlines
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T18:25:00+00:00,Soekarno-Hatta International,Asia/Jakarta,Scoot
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T18:30:00+00:00,Auckland International,Pacific/Auckland,Air New Zealand
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T18:30:00+00:00,Phuket International,Asia/Bangkok,Singapore Airlines
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T18:30:00+00:00,Tianjin Binhai International,Asia/Shanghai,Suparna Airlines
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T18:35:00+00:00,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,Singapore Airlines
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T18:35:00+00:00,Suvarnabhumi International,Asia/Bangkok,Singapore Airlines
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T18:40:00+00:00,Perth International,Australia/Perth,Singapore Airlines
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T18:40:00+00:00,Ahmedabad,Asia/Kolkata,Singapore Airlines
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T18:45:00+00:00,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,AirAsia
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T18:45:00+00:00,Xianyang,Asia/Shanghai,Scoot
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T18:45:00+00:00,Chhatrapati Shivaji International (Sahar International),Asia/Kolkata,Singapore Airlines
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T18:55:00+00:00,Tribhuvan International,Asia/Kathmandu,Singapore Airlines
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T18:55:00+00:00,Hong Kong International,Asia/Hong_Kong,Singapore Airlines
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T19:00:00+00:00,Juanda,Asia/Jakarta,Garuda Indonesia
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T19:00:00+00:00,Penang International,Asia/Kuala_Lumpur,Singapore Airlines
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T19:00:00+00:00,,,Singapore Airlines
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T19:00:00+00:00,,,Silk Way West
2024-03-30,scheduled,Singapore Changi,Asia/Singapore,2024-03-30T17:10:00+00:00,Koh Samui,Asia/Bangkok,Emirates
